,0
0,2010-07-26
1,2010-07-27
2,2010-07-28
3,2010-07-29
4,2010-07-30
5,2010-08-02
6,2010-08-03
7,2010-08-04
8,2010-08-05
9,2010-08-06
10,2010-08-09
11,2010-08-10
12,2010-08-11
13,2010-08-12
14,2010-08-13
15,2010-08-16
16,2010-08-17
17,2010-08-18
18,2010-08-19
19,2010-08-20
20,2010-08-23
21,2010-08-24
22,2010-08-25
23,2010-08-26
24,2010-08-27
25,2010-08-30
26,2010-08-31
27,2010-09-01
28,2010-09-02
29,2010-09-03
30,2010-09-06
31,2010-09-07
32,2010-09-08
33,2010-09-09
34,2010-09-10
35,2010-09-13
36,2010-09-14
37,2010-09-15
38,2010-09-16
39,2010-09-17
40,2010-09-20
41,2010-09-21
42,2010-09-27
43,2010-09-28
44,2010-09-29
45,2010-09-30
46,2010-10-08
47,2010-10-11
48,2010-10-12
49,2010-10-13
50,2010-10-14
51,2010-10-15
52,2010-10-18
53,2010-10-19
54,2010-10-20
55,2010-10-21
56,2010-10-22
57,2010-10-25
58,2010-10-26
59,2010-10-27
60,2010-10-28
61,2010-10-29
62,2010-11-01
63,2010-11-02
64,2010-11-03
65,2010-11-04
66,2010-11-05
67,2010-11-08
68,2010-11-09
69,2010-11-10
70,2010-11-11
71,2010-11-12
72,2010-11-15
73,2010-11-16
74,2010-11-17
75,2010-11-18
76,2010-11-19
77,2010-11-22
78,2010-11-23
79,2010-11-24
80,2010-11-25
81,2010-11-26
82,2010-11-29
83,2010-11-30
84,2010-12-01
85,2010-12-02
86,2010-12-03
87,2010-12-06
88,2010-12-07
89,2010-12-08
90,2010-12-09
91,2010-12-10
92,2010-12-13
93,2010-12-14
94,2010-12-15
95,2010-12-16
96,2010-12-17
97,2010-12-20
98,2010-12-21
99,2010-12-22
100,2010-12-23
101,2010-12-24
102,2010-12-27
103,2010-12-28
104,2010-12-29
105,2010-12-30
106,2010-12-31
107,2011-01-04
108,2011-01-05
109,2011-01-06
110,2011-01-07
111,2011-01-10
112,2011-01-11
113,2011-01-12
114,2011-01-13
115,2011-01-14
116,2011-01-17
117,2011-01-18
118,2011-01-19
119,2011-01-20
120,2011-01-21
121,2011-01-24
122,2011-01-25
123,2011-01-26
124,2011-01-27
125,2011-01-28
126,2011-01-31
127,2011-02-01
128,2011-02-09
129,2011-02-10
130,2011-02-11
131,2011-02-14
132,2011-02-15
133,2011-02-16
134,2011-02-17
135,2011-02-18
136,2011-02-21
137,2011-02-22
138,2011-02-23
139,2011-02-24
140,2011-02-25
141,2011-02-28
142,2011-03-01
143,2011-03-02
144,2011-03-03
145,2011-03-04
146,2011-03-07
147,2011-03-08
148,2011-03-09
149,2011-03-10
150,2011-03-11
151,2011-03-14
152,2011-03-15
153,2011-03-16
154,2011-03-17
155,2011-03-18
156,2011-03-21
157,2011-03-22
158,2011-03-23
159,2011-03-24
160,2011-03-25
161,2011-03-28
162,2011-03-29
163,2011-03-30
164,2011-03-31
165,2011-04-01
166,2011-04-06
167,2011-04-07
168,2011-04-08
169,2011-04-11
170,2011-04-12
171,2011-04-13
172,2011-04-14
173,2011-04-15
174,2011-04-18
175,2011-04-19
176,2011-04-20
177,2011-04-21
178,2011-04-22
179,2011-04-25
180,2011-04-26
181,2011-04-27
182,2011-04-28
183,2011-04-29
184,2011-05-03
185,2011-05-04
186,2011-05-05
187,2011-05-06
188,2011-05-09
189,2011-05-10
190,2011-05-11
191,2011-05-12
192,2011-05-13
193,2011-05-16
194,2011-05-17
195,2011-05-18
196,2011-05-19
197,2011-05-20
198,2011-05-23
199,2011-05-24
200,2011-05-25
201,2011-05-26
202,2011-05-27
203,2011-05-30
204,2011-05-31
205,2011-06-01
206,2011-06-02
207,2011-06-03
208,2011-06-07
209,2011-06-08
210,2011-06-09
211,2011-06-10
212,2011-06-13
213,2011-06-14
214,2011-06-15
215,2011-06-16
216,2011-06-17
217,2011-06-20
218,2011-06-21
219,2011-06-22
220,2011-06-23
221,2011-06-24
222,2011-06-27
223,2011-06-28
224,2011-06-29
225,2011-06-30
226,2011-07-01
227,2011-07-04
228,2011-07-05
229,2011-07-06
230,2011-07-07
231,2011-07-08
232,2011-07-11
233,2011-07-12
234,2011-07-13
235,2011-07-14
236,2011-07-15
237,2011-07-18
238,2011-07-19
239,2011-07-20
240,2011-07-21
241,2011-07-22
242,2011-07-25
243,2011-07-26
244,2011-07-27
245,2011-07-28
246,2011-07-29
247,2011-08-01
248,2011-08-02
249,2011-08-03
250,2011-08-04
251,2011-08-05
252,2011-08-08
253,2011-08-09
254,2011-08-10
255,2011-08-11
256,2011-08-12
257,2011-08-15
258,2011-08-16
259,2011-08-17
260,2011-08-18
261,2011-08-19
262,2011-08-22
263,2011-08-23
264,2011-08-24
265,2011-08-25
266,2011-08-26
267,2011-08-29
268,2011-08-30
269,2011-08-31
270,2011-09-01
271,2011-09-02
272,2011-09-05
273,2011-09-06
274,2011-09-07
275,2011-09-08
276,2011-09-09
277,2011-09-13
278,2011-09-14
279,2011-09-15
280,2011-09-16
281,2011-09-19
282,2011-09-20
